battle_id,battle_name,url,start_date,end_date,alternate_names,location,state,campaign,result,total_casualties,total_strength,cwsac_id,dbpedia_url
second-deep-bottom,Second Deep Bottom,http://www.civilwar.org/battlefields/second-deep-bottom.html,1864-08-13,1864-08-20,,Henrico County,VA,Richmond-Petersburg Campaign,Confederate Victory,,,VA071,http://dbpedia.org/resource/Second_Battle_of_Deep_Bottom
munfordville,Munfordville,http://www.civilwar.org/battlefields/munfordville.html,1862-09-14,1862-09-17,,Hart County,KY,Confederate Heartland Offensive,Confederate Victory,,,KY008,http://dbpedia.org/resource/Battle_of_Munfordville
the-wilderness,The Wilderness,http://www.civilwar.org/battlefields/the-wilderness.html,1864-05-05,1864-05-07,,Spotsylvania and Orange Counties,VA,Grant's Overland Campaign,Inconclusive,29800,169920,VA046,http://dbpedia.org/resource/Battle_of_the_Wilderness
picachopeak,Picacho Peak,http://www.civilwar.org/battlefields/picachopeak.html,1862-04-15,1862-04-15,,Pinal County,AZ,,Confederate Victory,,,,http://dbpedia.org/resource/Battle_of_Picacho_Pass
mill-springs,Mill Springs,http://www.civilwar.org/battlefields/mill-springs.html,1862-01-19,1862-01-19,"Logan’s Cross-Roads, Fishing Creek",Pulaski County and Wayne County,KY,,Union Victory,814,10300,KY006,http://dbpedia.org/resource/Battle_of_Mill_Springs
aldie,Aldie,http://www.civilwar.org/battlefields/aldie.html,1863-06-17,1863-06-17,,Loudoun County,VA,Gettysburg Campaign,Inconclusive,,,VA036,http://dbpedia.org/resource/Battle_of_Aldie
honey-springs,Honey Springs,http://www.civilwar.org/battlefields/honey-springs.html,1863-07-17,1863-07-17,,Muskogee County and McIntosh County,OK,,Union Victory,,,OK007,http://dbpedia.org/resource/Battle_of_Honey_Springs
malvern-hill,Malvern Hill,http://www.civilwar.org/battlefields/malvern-hill.html,1862-07-01,1862-07-01,,Henrico County,VA,Seven Days Battles,Union Victory,7700,57000,VA021,http://dbpedia.org/resource/Battle_of_Malvern_Hill
bristoe-station,Bristoe Station,http://www.civilwar.org/battlefields/bristoe-station.html,1863-10-14,1863-10-14,,Prince William County,VA,,Union Victory,2000,25601,VA040,http://dbpedia.org/resource/Battle_of_Bristoe_Station
ream-s-station,Ream's Station,http://www.civilwar.org/battlefields/ream-s-station.html,1864-08-25,1864-08-25,,Dinwiddie County,VA,Richmond-Petersburg Campaign,Confederate Victory,,,VA073,http://dbpedia.org/resource/Second_Battle_of_Ream's_Station
fort-stevens,Fort Stevens,http://www.civilwar.org/battlefields/fort-stevens.html,1864-07-11,1864-07-12,,Washington,DC,,Union Victory,,,DC001,http://dbpedia.org/resource/Battle_of_Fort_Stevens
new-hope-church,New Hope Church,http://www.civilwar.org/battlefields/new-hope-church.html,1864-05-25,1864-05-26,,Paulding County,GA,Atlanta Campaign,Confederate Victory,2065,20000,GA010,http://dbpedia.org/resource/Battle_of_New_Hope_Church
cold-harbor,Cold Harbor,http://www.civilwar.org/battlefields/cold-harbor.html,1864-05-31,1864-06-12,,Hanover County,VA,Grant's Overland Campaign,Confederate Victory,17332,170000,VA062,http://dbpedia.org/resource/Battle_of_Cold_Harbor
carthage,Carthage,http://www.civilwar.org/battlefields/carthage.html,1861-07-05,1861-07-05,,Jasper County,MO,,Confederate Victory,,,MO002,http://dbpedia.org/resource/Battle_of_Carthage_(1861)
mine-run,Mine Run,http://www.civilwar.org/battlefields/mine-run.html,1863-11-27,1863-12-02,,Orange County,VA,,Inconclusive,,,VA044,http://dbpedia.org/resource/Battle_of_Mine_Run
falling-waters,Falling Waters,http://www.civilwar.org/battlefields/falling-waters.html,1863-07-06,1863-07-16,,Washington County,MD,Gettysburg Campaign,Inconclusive,,,MD004,http://dbpedia.org/resource/Battle_of_Williamsport
third-winchester,Third Winchester,http://www.civilwar.org/battlefields/third-winchester.html,1864-09-19,1864-09-19,Opequon,Frederick County,VA,Sheridan's Shenandoah Valley Campaign,Union Victory,8630,54440,VA119,http://dbpedia.org/resource/Battle_of_Opequon
pickettsmill,Pickett's Mill,http://www.civilwar.org/battlefields/pickettsmill.html,1864-05-27,1864-05-27,,Paulding County,GA,Atlanta Campaign,Confederate Victory,,,GA012,http://dbpedia.org/resource/Battle_of_Pickett's_Mill
iuka,Iuka,http://www.civilwar.org/battlefields/iuka.html,1862-09-19,1862-09-19,,Tishomingo County,MS,Iuka and Corinth Campaign,Union Victory,,,MS001,http://dbpedia.org/resource/Battle_of_Iuka
gettysburg,Gettysburg,http://www.civilwar.org/battlefields/gettysburg.html,1863-07-01,1863-07-03,,Adams County,PA,Gettysburg Campaign,Union Victory,51112,165620,PA002,http://dbpedia.org/resource/Battle_of_Gettysburg
cedar-creek,Cedar Creek,http://www.civilwar.org/battlefields/cedar-creek.html,1864-10-19,1864-10-19,Belle Grove,"Frederick County, Shenandoah County and Warren County",VA,Sheridan's Shenandoah Valley Campaign,Union Victory,8575,52945,VA122,http://dbpedia.org/resource/Battle_of_Cedar_Creek
sailor-s-creek,Sailor's Creek,http://www.civilwar.org/battlefields/sailor-s-creek.html,1865-04-06,1865-04-06,"Sayler's Creek, Little Sailor's Creek, Marshall's Crossroads","Amelia County, Prince Edward County, and Nottoway County",VA,Appomattox Campaign,Union Victory,9980,27500,VA093,http://dbpedia.org/resource/Battle_of_Sayler's_Creek
mcdowell,McDowell,http://www.civilwar.org/battlefields/mcdowell.html,1862-05-08,1862-05-08,,Highland County,VA,Jackson’s Shenandoah Valley Campaign,Confederate Victory,,,VA102,http://dbpedia.org/resource/Battle_of_McDowell
sabinepass,Sabine Pass,http://www.civilwar.org/battlefields/sabinepass.html,1863-09-08,1863-09-08,,Jefferson County,TX,,Confederate Victory,,,TX006,http://dbpedia.org/resource/Second_Battle_of_Sabine_Pass
cedar-mountain,Cedar Mountain,http://www.civilwar.org/battlefields/cedar-mountain.html,1862-08-09,1862-08-09,"Slaughter’s Mountain, Cedar Run",Culpeper County,VA,Northern Virginia Campaign 1862,Confederate Victory,2707,24898,VA022,http://dbpedia.org/resource/Battle_of_Cedar_Mountain
brice-s-cross-roads,Brice's Cross Roads,http://www.civilwar.org/battlefields/brice-s-cross-roads.html,1864-06-10,1864-06-10,,Prentiss County and Union County,MS,,Confederate Victory,,,MS014,http://dbpedia.org/resource/Battle_of_Brice's_Crossroads
davis-bridge,Davis Bridge,http://www.civilwar.org/battlefields/davis-bridge.html,1862-10-05,1862-10-05,,Hardeman County and McNairy County,TN,Iuka and Corinth Campaign,Union Victory,,,TN007,http://dbpedia.org/resource/Battle_of_Hatchie's_Bridge
south-mountain,South Mountain,http://www.civilwar.org/battlefields/south-mountain.html,1862-09-14,1862-09-14,"Crampton's, Turner's, and Fox's Gaps",Frederick County and Washington County,MD,Maryland Campaign,Union Victory,4500,56000,MD002,http://dbpedia.org/resource/Battle_of_South_Mountain
appomattoxstation,Appomattox Station,http://www.civilwar.org/battlefields/appomattoxstation.html,1865-04-08,1865-04-08,,Appomattox County,VA,Appomattox Campaign,Union Victory,,,VA096,http://dbpedia.org/resource/Battle_of_Appomattox_Station
vicksburg,Vicksburg,http://www.civilwar.org/battlefields/vicksburg.html,1863-05-18,1863-07-04,,Warren County,MS,Grant's Operations against Vicksburg,Union Victory,37402,110000,MS011,http://dbpedia.org/resource/Siege_of_Vicksburg
shepherdstown,Shepherdstown,http://www.civilwar.org/battlefields/shepherdstown.html,1862-09-19,1862-09-20,,Town of Shepherdstown,WV,Maryland Campaign,Confederate Victory,,,WV016,http://dbpedia.org/resource/Battle_of_Shepherdstown
north-anna,North Anna,http://www.civilwar.org/battlefields/north-anna.html,1864-05-23,1864-05-26,,Caroline County and Hanover County,VA,Grant's Overland Campaign,Inconclusive,3500,,VA055,http://dbpedia.org/resource/Battle_of_North_Anna
fort-mcallister,Fort McAllister,http://www.civilwar.org/battlefields/fort-mcallister.html,1864-12-13,1864-12-13,,Bryan County,GA,,Union Victory,,,GA028,http://dbpedia.org/resource/Second_Battle_of_Fort_McAllister
fort-blakely,Fort Blakely,http://www.civilwar.org/battlefields/fort-blakely.html,1865-04-02,1865-04-09,,Baldwin County,AL,,Union Victory,,,AL006,http://dbpedia.org/resource/Battle_of_Fort_Blakely
totopotomoy-creek,Totopotomoy Creek,http://www.civilwar.org/battlefields/totopotomoy-creek.html,1864-05-28,1864-05-30,,Hanover County,VA,Grant's Overland Campaign,Inconclusive,,,VA057,http://dbpedia.org/resource/Battle_of_Totopotomoy_Creek
spotsylvania-court-house,Spotsylvania Court House,http://www.civilwar.org/battlefields/spotsylvania-court-house.html,1864-05-08,1864-05-21,,Spotsylvania County,VA,Grant's Overland Campaign,Inconclusive,30000,152000,VA048,http://dbpedia.org/resource/Battle_of_Spotsylvania_Court_House
chantilly,Chantilly,http://www.civilwar.org/battlefields/chantilly.html,1862-09-01,1862-09-01,,Fairfax County,VA,Northern Virginia Campaign 1862,Inconclusive,,,VA027,http://dbpedia.org/resource/Battle_of_Chantilly
spring-hill,Spring Hill,http://www.civilwar.org/battlefields/spring-hill.html,1864-11-29,1864-11-29,,Spring Hill,TN,Franklin-Nashville Campaign,Union Victory,,,TN035,http://dbpedia.org/resource/Battle_of_Spring_Hill
antietam,Antietam,http://www.civilwar.org/battlefields/antietam.html,1862-09-16,1862-09-18,Sharpsburg,Washington County,MD,Maryland Campaign,Inconclusive,22717,131000,MD003,http://dbpedia.org/resource/Battle_of_Antietam
hampton-roads,Hampton Roads,http://www.civilwar.org/battlefields/hampton-roads.html,1862-03-08,1862-03-09,"Monitor vs. Merrimack, Battle of the Ironclads",Hampton Roads,VA,Peninsula Campaign,Inconclusive,393,1588,VA008,http://dbpedia.org/resource/Battle_of_Hampton_Roads
chattanooga,Chattanooga,http://www.civilwar.org/battlefields/chattanooga.html,1863-11-23,1863-11-25,"Missionary Ridge, Lookout Mountain",Hamilton County and City of Chattanooga,TN,,Union Victory,12485,100369,TN024,http://dbpedia.org/resource/Chattanooga_Campaign
fortstedman,Fort Stedman,http://www.civilwar.org/battlefields/fortstedman.html,1865-03-25,1865-03-25,,Petersburg,VA,Richmond-Petersburg Campaign,Union Victory,,,VA084,http://dbpedia.org/resource/Battle_of_Fort_Stedman
kernstown,Kernstown,http://www.civilwar.org/battlefields/kernstown.html,1862-03-23,1862-03-23,,Frederick County and Winchester,VA,Jackson’s Shenandoah Valley Campaign,Union Victory,,,VA101,http://dbpedia.org/resource/First_Battle_of_Kernstown
battery-wagner,Fort Wagner,http://www.civilwar.org/battlefields/battery-wagner.html,1863-07-18,1863-09-07,"Battery Wagner, Morris Island",Morris Island,SC,,Confederate Victory,1689,6800,SC007,http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner
franklin,Franklin,http://www.civilwar.org/battlefields/franklin.html,1864-11-30,1864-11-30,Second Battle of Franklin,Franklin,TN,Franklin-Nashville Campaign,Union Victory,8587,63000,TN036,http://dbpedia.org/resource/Battle_of_Franklin_(1864)
seven-pines,Seven Pines,http://www.civilwar.org/battlefields/seven-pines.html,1862-05-31,1862-06-01,,Henrico County,VA,Peninsula Campaign,Inconclusive,,,VA014,http://dbpedia.org/resource/Battle_of_Seven_Pines
second-kernstown,Second Kernstown,http://www.civilwar.org/battlefields/second-kernstown.html,1864-07-24,1864-07-24,,Frederick County,VA,,Confederate Victory,,,VA116,http://dbpedia.org/resource/Second_Battle_of_Kernstown
tupelo,Tupelo,http://www.civilwar.org/battlefields/tupelo.html,1864-07-14,1864-07-15,,"Lee County, Mississippi",MS,,Union Victory,,,MS015,http://dbpedia.org/resource/Battle_of_Tupelo
mobile-bay,Mobile Bay,http://www.civilwar.org/battlefields/mobile-bay.html,1864-08-02,1864-08-23,,Mobile and Baldwin County,AL,,Union Victory,1822,,AL003,http://dbpedia.org/resource/Battle_of_Mobile_Bay
portgibson,Port Gibson,http://www.civilwar.org/battlefields/portgibson.html,1863-05-01,1863-05-01,,Claiborne County,MS,Grant's Operations against Vicksburg,Union Victory,1628,31000,MS006,http://dbpedia.org/resource/Battle_of_Port_Gibson
fort-fisher,Fort Fisher,http://www.civilwar.org/battlefields/fort-fisher.html,1865-01-13,1865-01-15,,New Hanover County,NC,,Union Victory,,,NC015,http://dbpedia.org/resource/Second_Battle_of_Fort_Fisher
campallegheny,Camp Allegheny,http://www.civilwar.org/battlefields/campallegheny.html,1861-12-13,1861-12-13,,Pocahontas County,WV,,Inconclusive,,,WV008,http://dbpedia.org/resource/Battle_of_Camp_Allegheny
middleburg,Middleburg,http://www.civilwar.org/battlefields/middleburg.html,1863-06-17,1863-06-19,,Loudoun County,VA,Gettysburg Campaign,Inconclusive,390,9600,VA037,http://dbpedia.org/resource/Battle_of_Middleburg
palmito-ranch,Palmito Ranch,http://www.civilwar.org/battlefields/palmito-ranch.html,1865-05-12,1865-05-13,,Cameron County,TX,,Confederate Victory,,,TX005,http://dbpedia.org/resource/Battle_of_Palmito_Ranch
high-bridge,High Bridge,http://www.civilwar.org/battlefields/high-bridge.html,1865-04-06,1865-04-07,,Cumberland County,VA,Appomattox Campaign,Inconclusive,,,VA095,http://dbpedia.org/resource/Battle_of_High_Bridge
rappahannock-station,Rappahannock Station,http://www.civilwar.org/battlefields/rappahannock-station.html,1863-11-07,1863-11-07,,Fauquier County,VA,,Union Victory,2093,4000,VA043,http://dbpedia.org/resource/Second_Battle_of_Rappahannock_Station
beaver-dam-creek,Beaver Dam Creek,http://www.civilwar.org/battlefields/beaver-dam-creek.html,1862-06-26,1862-06-26,,Hanover County,VA,Seven Days Battles,Union Victory,,,VA016,http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek
petersburg,Petersburg,http://www.civilwar.org/battlefields/petersburg.html,1864-06-15,1864-06-18,Assault on Petersburg,City of Petersburg,VA,Richmond-Petersburg Campaign,Confederate Victory,11386,108000,VA063,http://dbpedia.org/resource/Second_Battle_of_Petersburg
atlanta,Atlanta,http://www.civilwar.org/battlefields/atlanta.html,1864-07-22,1864-07-22,"Bald Hill, Leggett's Hill",Fulton County,GA,Atlanta Campaign,Union Victory,9222,75301,GA017,http://dbpedia.org/resource/Battle_of_Atlanta
monocacy,Monocacy,http://www.civilwar.org/battlefields/monocacy.html,1864-07-09,1864-07-09,,Frederick County,MD,,Confederate Victory,,,MD007,http://dbpedia.org/resource/Battle_of_Monocacy
sand-creek,Sand Creek,http://www.civilwar.org/battlefields/sand-creek.html,1864-11-29,1864-11-30,,Kiowa County,CO,,Union Victory,,,CO001,http://dbpedia.org/resource/Sand_Creek_massacre
