battle,cwsac_name,attacker,surrender
AL001,Day's Gap,CS,None
AL002,Athens I,CS,None
AL003,Mobile Bay,US,Confederate complete
AL004,Decatur,CS,None
AL005,Spanish Fort,US,None
AL006,Fort Blakely,US,Confederate complete
AL007,Selma,US,Confederate partial
AL008,Athens II,CS,Union complete
AR001,Pea Ridge,CS,None
AR002,Saint Charles,US,None
AR003,Hill's Plantation,US,None
AR004,Cane Hill,US,None
AR005,Prairie Grove,CS,None
AR006,Arkansas Post,US,Confederate complete
AR007,Chalk Bluff,US,None
AR008,Helena,CS,None
AR009,Devil's Backbone,CS,None
AR010,Bayou Fourche,US,None
AR011,Pine Bluff,CS,None
AR012,Elkin's Ferry,US,None
AR013,Prairie D'Ane,US,None
AR014,Poison Spring,CS,None
AR015,Marks' Mills,CS,None
AR016,Jenkin's Ferry,CS,None
AR017,Old River Lake,US,None
AR018,Bayou Meto,US,None
DC001,Fort Stevens,CS,None
FL001,Santa Rosa Island,CS,None
FL002,Tampa,US,None
FL003,Saint John's Bluff,US,None
FL004,Fort Brooke,US,None
FL005,Olustee,US,None
FL006,Natural Bridge,US,None
GA001,Fort Pulaski,US,Confederate complete
GA002,Fort McAllister I,US,None
GA003,Davis' Cross Roads,CS,None
GA004,Chickamauga,CS,None
GA005,Ringgold Gap,US,None
GA006,Dalton I,US,None
GA007,Rocky Face Ridge,US,None
GA008,Resaca,US,None
GA009,Adairsville,US,None
GA010,New Hope Church,US,None
GA011,Dallas,CS,None
GA012,Pickett's Mill,US,None
GA013,Marietta,US,None
GA014,Kolb's Farm,CS,None
GA015,Kennesaw Mountain,US,None
GA016,Peachtree Creek,CS,None
GA017,Atlanta,CS,None
GA018,Ezra Church,CS,None
GA019,Utoy Creek,US,None
GA020,Dalton II,CS,None
GA021,Lovejoy's Station,US,None
GA022,Jonesborough,CS,None
GA023,Allatoona,CS,None
GA025,Griswoldville,CS,None
GA026,Buck Head Creek,CS,None
GA027,Waynesborough,US,None
GA028,Fort McAllister II,US,None
IN001,Corydon,CS,None
KS002,Baxter Springs,CS,None
KS003,Mine Creek,US,None
KS004,Marais des Cygnes,US,None
KY001,Barbourville,CS,None
KY002,Camp Wildcat,US,None
KY003,Ivy Mountain,CS,None
KY004,Rowlett's Station,US,None
KY005,Middle Creek,US,None
KY006,Mill Springs,CS,None
KY007,Richmond,CS,Union partial
KY008,Munfordville,CS,Union complete
KY009,Perryville,US,None
KY010,Paducah,CS,None
KY011,Cynthiana,CS,None
LA001,Forts Jackson and St. Philip,US,Confederate complete
LA002,New Orleans,US,None
LA003,Baton Rouge,CS,None
LA004,Donaldsonville I,US,None
LA005,Georgia Landing,US,None
LA006,Fort Bisland,US,None
LA007,Irish Bend,CS,None
LA008,Vermillion Bayou,US,None
LA009,Plains Store,US,None
LA010,Port Hudson,US,Confederate complete
LA011,Milliken's Bend,CS,None
LA012,LaFourche Crossing,CS,None
LA013,Donaldsonville II,CS,None
LA014,Goodrich's Landing,CS,None
LA015,Kock's Plantation,US,None
LA016,Stirling's Plantation,CS,Union partial
LA017,Fort DeRussy,US,Confederate complete
LA018,Mansfield,US,None
LA019,Pleasant Hill,CS,None
LA020,Blair's Landing,CS,None
LA021,Monett's Ferry,US,None
LA022,Mansura,US,None
LA023,Yellow Bayou,US,None
MD001,Hancock,CS,None
MD002,South Mountain,US,None
MD003,Antietam,US,None
MD004,Williamsport,US,None
MD006,Boonsboro,US,None
MD007,Monocacy,US,None
MD008,Folck's Mill,US,None
MO001,Boonville,US,None
MO002,Carthage,CS,None
MO003,Liberty,US,None
MO004,Wilson's Creek,US,None
MO005,Dry Wood Creek,US,None
MO006,Lexington I,CS,Union partial
MO007,Fredericktown,CS,None
MO008,Springfield I,US,None
MO009,Belmont,US,None
MO010,Mount Zion Church,US,None
MO011,Roan's Tan Yard,US,None
MO012,New Madrid/Island No. 10,US,Confederate complete
MO013,Kirksville,US,None
MO014,Independence I,CS,Union complete
MO015,Lone Jack,US,None
MO016,Newtonia I,US,None
MO017,Clark's Mill,US,Union complete
MO018,Springfield II,CS,None
MO019,Hartville,CS,Union partial
MO020,Cape Girardeau,CS,None
MO021,Fort Davidson,CS,None
MO022,Glasgow,CS,Union partial
MO023,Lexington II,CS,None
MO024,Little Blue River,CS,None
MO025,Independence II,CS,None
MO026,Byram's Ford,CS,None
MO027,Westport,CS,None
MO028,Marmiton River,US,None
MO029,Newtonia II,US,None
MS001,Iuka,US,None
MS002,Corinth,CS,None
MS003,Chickasaw Bayou,US,None
MS004,Grand Gulf,US,None
MS005,Snyder's Bluff,US,None
MS006,Port Gibson,US,None
MS007,Raymond,US,None
MS008,Jackson (MS),US,None
MS009,Champion Hill,US,None
MS010,Big Black River Bridge,US,None
MS011,Vicksburg,US,Confederate complete
MS012,Meridian,US,None
MS013,Okolona,CS,None
MS014,Brice's Cross Roads,CS,None
MS015,Tupelo,CS,None
MS016,Siege of Corinth,US,None
NC001,Hatteras Inlet Batteries,US,Confederate complete
NC002,Roanoke Island,US,Confederate complete
NC003,New Berne,US,None
NC004,Fort Macon,US,Confederate complete
NC005,South Mills,US,None
NC006,Tranter's Creek,US,None
NC007,Kinston,US,None
NC008,White Hall,US,None
NC009,Goldsborough Bridge,US,None
NC010,Fort Anderson,CS,None
NC011,Washington,CS,None
NC012,Plymouth,CS,Union complete
NC013,Albemarle Sound,CS,None
NC014,Fort Fisher I,US,None
NC015,Fort Fisher II,US,Confederate complete
NC016,Wilmington,US,None
NC017,Wyse Fork,US,None
NC018,Monroe's Cross Roads,US,None
NC019,Averasborough,US,None
NC020,Bentonville,US,None
NM001,Valverde,US,None
NM002,Glorieta Pass,US,None
OH001,Buffington Island,US,Confederate partial
OH002,Salineville,US,Confederate partial
OK001,Round Mountain,CS,None
OK002,Chusto-Talasah,CS,None
OK003,Chustenahlah,CS,None
OK004,Old Fort Wayne,US,None
OK005,Middle Boggy Depot,US,None
OK006,Cabin Creek,US,None
OK007,Honey Springs,US,None
PA001,Hanover,CS,None
PA002,Gettysburg,CS,None
SC001,Fort Sumter I,CS,None
SC002,Secessionville,US,None
SC003,Simmon's Bluff,US,None
SC004,Charleston Harbor I,US,None
SC005,Fort Wagner I,US,None
SC006,Grimball's Landing,CS,None
SC007,Fort Wagner II,US,None
SC008,Fort Sumter II,US,None
SC009,Charleston Harbor II,US,None
SC010,Honey Hill,US,None
SC011,Rivers' Bridge,US,None
TN001,Fort Henry,US,None
TN002,Fort Donelson,US,Confederate complete
TN003,Shiloh,CS,None
TN004,Memphis I,US,None
TN005,Chattanooga I,US,None
TN006,Murfreesboro I,CS,Union complete
TN007,Hatchie's Bridge (Davis Bridge),CS,None
TN008,Hartsville,CS,Union complete
TN009,Jackson (TN),CS,None
TN010,Stones River,CS,None
TN011,Parker's Cross Roads,US,None
TN012,Dover,CS,None
TN013,Thompson's Station,US,Union complete
TN014,Vaught's Hill,US,None
TN015,Brentwood,CS,Union complete
TN016,Franklin I,CS,None
TN017,Hoover's Gap,US,None
TN018,Chattanooga II,US,None
TN019,Blountsville,CS,None
TN020,Blue Springs,US,None
TN021,Wauhatchie,CS,None
TN022,Collierville,CS,None
TN023,Campbell's Station,CS,None
TN024,Chattanooga III,US,None
TN025,Fort Sanders,CS,None
TN026,Bean's Station,CS,None
TN027,Mossy Creek,CS,None
TN028,Dandridge,CS,None
TN029,Fair Garden,US,None
TN030,Fort Pillow,CS,Union complete
TN031,Memphis II,CS,Union partial
TN032,Johnsonville,CS,None
TN033,Bull's Gap,CS,Union partial
TN034,Columbia,CS,None
TN035,Spring Hill,CS,None
TN036,Franklin II,CS,None
TN037,Murfreesboro II,CS,None
TN038,Nashville,US,None
TX001,Sabine Pass I,US,None
TX002,Galveston I,US,None
TX003,Galveston II,CS,Union complete
TX005,Palmito Ranch,US,None
TX006,Sabine Pass II,US,None
VA001,Sewell's Point,US,None
VA002,Aquia Creek,US,None
VA003,Big Bethel,US,None
VA004,Blackburn's Ford,US,None
VA005,Manassas I,US,None
VA006,Balls Bluff,US,Union partial
VA007,Dranesville,US,None
VA008,Hampton Roads,CS,None
VA009,Yorktown,US,None
VA010,Williamsburg,US,None
VA011,Eltham's Landing,CS,None
VA012,Drewry's Bluff,US,None
VA013,Hanover Courthouse,CS,None
VA014,Seven Pines,CS,None
VA015,Oak Grove,US,None
VA016,Beaver Dam Creek,CS,None
VA017,Gaines' Mill,CS,None
VA018,Garnett's and Golding's Farm,CS,None
VA019,Savage's Station,CS,None
VA020,White Oak Swamp/Glendale,CS,None
VA021,Malvern Hill,CS,None
VA022,Cedar Mountain,US,None
VA023,Rappahannock Station I,CS,None
VA024,Manassas Station Operations,CS,None
VA025,Thoroughfare Gap,CS,None
VA026,Manassas II,CS,None
VA027,Chantilly,CS,None
VA028,Fredericksburg I,US,None
VA029,Kelly's Ford,US,None
VA030,Suffolk (Norfleet House Battery),CS,None
VA031,Siege of Suffolk (Hill's Point),US,None
VA032,Chancellorsville,US,None
VA033,Salem Church,US,None
VA034,Fredericksburg II,US,None
VA035,Brandy Station,US,None
VA036,Aldie,US,None
VA037,Middleburg,CS,None
VA038,Upperville,US,None
VA039,Auburn I,CS,None
VA040,Bristoe Station,CS,None
VA041,Auburn II,CS,None
VA042,Buckland Mills,CS,None
VA043,Rappahannock Station II,US,Confederate partial
VA044,Mine Run,US,None
VA045,Morton's Ford,US,None
VA046,Wilderness,US,None
VA047,Port Walthall Junction,US,None
VA048,Spotsylvania Court House,US,None
VA049,Cloyd's Mountain,US,None
VA050,Swift Creek,CS,None
VA051,Chester Station,CS,None
VA052,Yellow Tavern,US,None
VA053,Proctor's Creek,US,None
VA054,Ware Bottom Church,CS,None
VA055,North Anna,US,None
VA056,Wilson's Wharf,CS,None
VA057,Totopotomoy Creek/Bethesda Church,US,None
VA058,Haw's Shop,CS,None
VA059,Old Church,US,None
VA062,Cold Harbor,US,None
VA063,Petersburg II,US,None
VA064,Lynchburg,US,None
VA065,Jerusalem Plank Road,US,None
VA066,Saint Mary's Church,CS,None
VA067,Sappony Church,CS,None
VA068,Ream's Station I,CS,None
VA069,Deep Bottom I,US,None
VA070,Crater,US,None
VA071,Deep Bottom II,US,None
VA072,Globe Tavern,US,None
VA073,Ream's Station II,CS,Union partial
VA074,Peebles' Farm,US,None
VA075,Chaffin's Farm/New Market Heights,US,None
VA076,Saltville I,US,None
VA077,Darbytown and New Market,CS,None
VA078,Darbytown Road,US,None
VA079,Boydton Plank Road,US,None
VA080,Fair Oaks & Darbytown Road,US,None
VA081,Marion,US,None
VA082,Saltville II,US,None
VA083,Hatcher's Run,CS,None
VA084,Fort Stedman,CS,Confederate partial
VA085,Lewis's Farm,US,None
VA086,Dinwiddie Court House,US,None
VA087,White Oak Road,US,None
VA088,Five Forks,US,None
VA089,Petersburg III,US,None
VA090,Sutherland's Station,US,None
VA091,Amelia Springs,CS,None
VA092,Rice's Station,CS,None
VA093,Sailor's Creek,US,Confederate partial
VA094,Cumberland Church,US,None
VA095,High Bridge,CS,Union partial
VA096,Appomattox Station,US,None
VA097,Appomattox Courthouse,CS,Confederate complete
VA098,Petersburg I,US,None
VA099,Trevilian Station,US,None
VA100,Cockpit Point,US,None
VA101,Kernstown I,CS,None
VA102,McDowell,US,None
VA103,Front Royal,CS,Union partial
VA104,Winchester I,CS,Union partial
VA105,Cross Keys,US,None
VA106,Port Republic,CS,None
VA107,Winchester II,CS,Union partial
VA108,Manassas Gap,US,None
VA109,Cove Mountain,CS,None
VA110,New Market,CS,None
VA111,Piedmont,US,None
VA113,Staunton River Bridge,US,None
VA114,Cool Spring,US,None
VA115,Rutherford's Farm,US,None
VA116,Kernstown II,CS,None
VA117,Guard Hill,US,None
VA118,Berryville,CS,None
VA119,Opequon/Third Winchester,US,None
VA120,Fisher's Hill,US,None
VA121,Tom's Brook,US,None
VA122,Cedar Creek,CS,None
VA123,Waynesboro,US,None
VA124,Namozine Church,US,Confederate partial
VA125,Walkerton,US,None
WV001,Philippi,US,None
WV002,Hoke's Run,US,None
WV003,Rich Mountain,US,None
WV004,Kessler's Cross Lanes,CS,None
WV005,Cheat Mountain,CS,None
WV006,Carnifex Ferry,US,None
WV007,Greenbrier River,US,None
WV008,Camp Allegheny,US,None
WV009,Princeton Courthouse,CS,None
WV010,Harpers Ferry,CS,Union complete
WV012,Droop Mountain,US,None
WV013,Moorefield,US,None
WV014,Summit Point,CS,None
WV015,Smithfield Crossing,CS,None
WV016,Shepherdstown,US,None