battle_id,belligerent,battle_name,start_date,end_date,state,killed,wounded,missing,casualties,aggregregates_battles,comment
U1,US,"Big Bethel, Va.",1861-6-10,1861-6-10,VA,18,53,5,76,,
U2,US,"Carthage, Mo.",1861-7-5,1861-7-5,MO,13,31,,44,,
U3,US,"Rich Mountain, W. Va.",1861-7-11,1861-7-11,WV,12,49,,61,,
U4,US,"Blackburn's Ford, Va.",1861-7-18,1861-7-18,VA,19,38,26,83,,
U5,US,"First Bull Run, Va.",1861-7-21,1861-7-21,VA,470,1071,1793,3334,,
U6,US,"Wilson's Creek, Mo.",1861-8-10,1861-8-10,MO,223,721,291,1235,,
U7,US,"Carnifex Ferry, W. Va.",1861-9-10,1861-9-10,WV,17,141,,158,,
U8,US,"Greenbrier River, W. Va.",1861-10-3,1861-10-3,WV,8,35,,43,,
U9,US,"Ball's Bluff, Va.",1861-10-21,1861-10-21,VA,49,158,714,921,,
U10,US,"Belmont, Mo.",1861-11-7,1861-11-7,MO,80,322,99,501,,
U11,US,"Camp Alleghany, W. Va.",1861-12-13,1861-12-13,WV,20,107,10,137,,
U12,US,"Dranesville, Va.",1861-12-20,1861-12-20,VA,7,61,,68,,
U13,US,"Mill Springs, Ky.",1862-1-19,1862-1-19,KY,39,207,,246,,
U14,US,"Roanoke Island, N. C.",1862-2-8,1862-2-8,NC,37,214,13,264,,
U15,US,"Fort Donelson, Tenn.",1862-2-15,1862-2-15,TN,500,2108,224,2832,,
U16,US,"New Madrid, Mo.",1862-3-1,1862-3-14,MO,8,21,3,32,,
U17,US,"Pea Ridge, Mo.",1862-3-6,1862-3-8,MO,203,980,201,1384,,
U18,US,"New Berne, N. C.",1862-3-14,1862-3-14,NC,90,380,1,471,,
U19,US,"Kernstown, Va.",1862-3-23,1862-3-23,VA,118,450,22,590,,
U20,US,"Shiloh, Tenn.",1862-4-6,1862-4-7,TN,1754,8408,2885,13047,,
U21,US,"Camden, N. C. (South Mills)",1862-4-19,1862-4-19,NC,13,101,13,127,,
U22,US,"Farmington, Miss.",1862-5-9,1862-5-9,MS,16,148,14,178,,
U23,US,"Williamsburg, Va.",1862-5-5,1862-5-5,VA,456,1410,373,2239,,
U24,US,"West Point, Va.",1862-5-7,1862-5-7,VA,48,110,28,186,,
U25,US,"McDowell, Va.",1862-5-8,1862-5-8,VA,26,227,3,256,,
U26,US,"Princeton, W. Va.",1862-5-16,1862-5-17,WV,23,69,21,113,,
U27,US,"Russell House, Miss.",1862-5-17,1862-5-17,MS,10,31,,41,,
U28,US,"Lewisburg, W. Va.",1862-5-23,1862-5-23,WV,13,53,7,73,,
U29,US,"Front Royal and Winchester, Va.",1862-5-23,1862-5-25,VA,62,243,1714,2019,,
U30,US,"Hanover Court House, Va.",1862-5-27,1862-5-27,VA,62,223,70,355,,
U31,US,"Fair Oaks, Va. (Seven Pines)",1862-5-31,1862-5-31,VA,790,3594,647,5031,,
U32,US,"Cross Keys, Va.",1862-6-8,1862-6-8,VA,114,443,127,684,,
U33,US,"Port Republic, Va.",1862-6-9,1862-6-9,VA,67,393,558,1018,,
U34,US,"Secessionville, S. C.",1862-6-16,1862-6-16,SC,107,487,89,683,,
U35,US,"Oak Grove, Va.",1862-6-25,1862-6-25,VA,67,504,55,626,,
U36,US,"Mechanicsville, Va.",1862-6-26,1862-6-26,VA,49,207,105,361,,
U37,US,"Gaines's Mill, Va.",1862-6-27,1862-6-27,VA,894,3107,2836,6837,,
U38,US,"Golding's Farm, Va.",1862-6-28,1862-6-28,VA,37,227,104,368,,"Includes loss at Garnett's Farm on the previons day,"
U39,US,"Savage Station, va",1862-6-29,1862-6-29,VA,80,412,1098,1590,,Includes loss at Peach Orchard (or Allen's Farm) on same day.
U40,US,"Glendale, Va.",1862-6-30,1862-6-30,VA,210,1513,1130,2853,,"Includes loss at White Oak Swamp, and Charles City Cross Roads."
U41,US,"Malvern Hill, Va.",1862-7-1,1862-7-1,VA,397,2092,725,3214,,
U42,US,"Seven Days Battle, Va.",1862-6-25,1862-7-1,VA,1734,8062,6053,15849,U35 U36 U37 U38 U39 U40 U41,
U43,US,"Bayou Cache, Ark.",1862-7-7,1862-7-7,AR,6,57,,63,,
U44,US,"Murfreesboro, Tenn.",1862-7-13,1862-7-13,TN,19,120,46,185,,Not including men surrendered in the capitulation.
U45,US,"Baton Rouge, La.",1862-8-5,1862-8-5,LA,84,266,33,383,,
U46,US,"Cedar Mountain, Va.",1862-8-9,1862-8-9,VA,314,1445,622,2381,,
U47,US,"Manassas, Va.",1862-8-16,1862-8-31,VA,1747,8452,4263,14462,,"Includes Bristoe Station, Groveton, Gainesville, Chantilly and the Rappahannock."
U48,US,"Richmond, Ky.",1862-8-30,1862-8-30,KY,206,844,4303,5353,,
U49,US,"Fayetteville, W. Va.",1862-9-10,1862-9-11,WV,25,95,190,310,,
U50,US,"Harper's Ferry, Va.",1862-9-12,1862-9-15,VA,44,173,12520,12737,,
U51,US,"Crampton's Gap, Md",1862-9-14,1862-9-14,MD,113,418,2,533,,
U52,US,"South Mountain, Md",1862-9-14,1862-9-14,MD,325,1403,85,1813,,
U53,US,"Munfordville, Ky.",1862-9-14,1862-9-16,KY,15,57,4076,4148,,
U54,US,"Antietam, Md",1862-9-17,1862-9-17,MD,2108,9549,753,12410,,
U55,US,"Iuka, Miss.",1862-9-19,1862-9-19,MS,141,613,36,790,,
U56,US,"Shepherdstown Ford, Va.",1862-9-19,1862-9-20,VA,71,161,131,363,,
U57,US,"Corinth, Miss.",1862-10-3,1862-10-4,MS,355,1841,324,2520,,
U58,US,"Hatchie Bridge, Miss.",1862-10-5,1862-10-5,MS,46,493,31,570,,
U59,US,"Chaplin Hills, Ky.",1862-10-8,1862-10-8,KY,845,2851,515,4211,,
U60,US,"Lawrenceburg, Ky. (Dog Walk)",1862-10-8,1862-10-9,KY,8,20,13,41,,
U61,US,"Pocotaligo, S. C.",1862-10-22,1862-10-22,SC,43,294,3,340,,
U62,US,"Georgia Landing, La.",1862-10-27,1862-10-27,LA,18,74,5,97,,
U63,US,"Coffeeville, Miss.",1862-12-5,1862-12-5,MS,10,63,41,114,,
U64,US,"Hartsville, Tenn.",1862-12-7,1862-12-7,TN,58,204,1834,2096,,
U65,US,"Prairie Grove, Ark.",1862-12-7,1862-12-7,AR,175,813,263,1251,,
U66,US,"Kinston; Goldsborough, N. C.",1862-12-12,1862-12-17,NC,92,487,12,591,,
U67,US,"Fredericksburg, Va.",1862-12-13,1862-12-13,VA,1284,9600,1769,12653,,
U68,US,"Chickasaw Bluffs, Miss.",1862-12-28,1862-12-29,MS,208,1005,563,1776,,
U69,US,"Parker's Cross Roads, Tenn.",1862-12-30,1862-12-30,TN,27,140,70,237,,
U70,US,"Stone's River, Tenn.",1862-12-31,1862-12-31,TN,1730,7802,3717,13249,,"Includes loss at Knob Gap, Dec. 26th; and at Jefferson Dec. 30th; also, losses Jan. 1, 2, 1863."
U71,US,"Springfield, Mo.",1863-1-7,1863-1-8,MO,14,146,5,165,,
U72,US,"Hartsville, Mo.",1863-1-11,1863-1-11,MO,7,64,2,73,,
U73,US,"Arkansas Post, Ark.",1863-1-11,1863-1-11,AR,134,898,29,1061,,
U74,US,"Deserted House, Va.",1863-1-30,1863-1-30,VA,23,108,12,143,,
U75,US,"Fort Donelson, Tenn.",1863-2-3,1863-2-3,TN,14,54,10,78,,
U76,US,"Thompson's Station, Tenn.",1863-3-4,1863-3-5,TN,48,247,1151,1446,,
U77,US,"Kelly's Ford, Va.",1863-3-17,1863-3-17,VA,6,50,22,78,,
U78,US,"Fort Bisland, La.",1863-4-13,1863-4-13,LA,40,184,,224,,
U79,US,"Irish Bend, La.",1863-4-14,1863-4-14,LA,49,274,30,353,,
U80,US,"Siege of Suffolk, Va.",1863-4-11,1863-4-30,VA,41,223,2,266,,
U81,US,"Magnolia Hills, Miss.",1863-5-1,1863-5-1,MS,131,719,25,875,,"Port Gibson, Miss."
U82,US,"Chancellorsville, Va.",1863-5-1,1863-5-4,VA,1606,9762,5919,17287,,"Includes loss at Marye's Heights and Salem Church, viz.; 493 killed, 2,710 wounded, 1,497 missing. Also, loss at Fitzhugh's Crossing."
U83,US,"Raymond, Miss.",1863-5-12,1863-5-12,MS,66,339,37,442,,
U84,US,"Jackson, Miss.",1863-5-14,1863-5-14,MS,42,251,7,300,,
U85,US,"Champion's Hill, Miss.",1863-5-16,1863-5-16,MS,410,1844,187,2441,,
U86,US,"Black River Bridge, Miss.",1863-5-17,1863-5-17,MS,39,237,3,279,,
U87,US,"Assault on Vicksburg, Miss.",1863-5-19,1863-5-19,MS,157,777,8,942,,
U88,US,"Assault on Vicksburg, Miss.",1863-5-22,1863-5-22,MS,502,2550,147,3199,,
U89,US,"Vicksburg Trenches, Miss.",1863-5-23,1863-7-4,MS,147,613,9,769,,
U90,US,"Plain's Store, La.",1863-5-21,1863-5-21,LA,15,71,14,100,,
U91,US,"Assault on Port Hudson, La.",1863-5-27,1863-5-27,LA,293,1545,157,1995,,
U92,US,"Assault on Port Hudson, La.",1863-6-14,1863-6-14,LA,203,1401,162,1766,,
U93,US,"Port Hudson Trenches, La.",1863-5-26,1863-7-9,LA,211,390,,601,,
U94,US,"Franklin's Crossing, Va.",1863-6-5,1863-6-5,VA,9,48,,57,,
U95,US,"Milliken's Bend, La.",1863-6-6,1863-6-8,LA,118,310,,428,,
U96,US,"Beverly Ford, Va.",1863-6-9,1863-6-9,VA,81,403,382,866,,Cavalry engagement.
U97,US,"Winchester, Va.",1863-6-13,1863-6-15,VA,95,348,4000,4443,,
U98,US,"Aldie, Va.",1863-6-17,1863-6-17,VA,50,131,124,305,,Cavalry engagement.
U99,US,"Middleburg, Va.",1863-6-19,1863-6-19,VA,16,46,37,99,,Cavalry engagement.
U100,US,"Upperville, Va.",1863-6-21,1863-6-21,VA,12,130,67,209,,Cavalry engagement.
U101,US,"La Fourche Crossing, La.",1863-6-21,1863-6-21,LA,8,40,,48,,
U102,US,"Hill's Plantation, Miss.",1863-6-22,1863-6-22,MS,10,9,28,47,,
U103,US,"Hoover's Gap, Tenn.",1863-6-24,1863-6-24,TN,27,177,2,206,,
U104,US,"Liberty Gap, Tenn.",1863-6-25,1863-6-25,TN,42,232,1,275,,
U105,US,"Shelbyville, Tenn.",1863-6-27,1863-6-27,TN,15,64,10,89,,Includes losses at Guy's Gap and Middleton.
U106,US,"Morgan's Raid, Ky.",1863-7-2,1863-7-26,KY,19,47,8,74,,
U107,US,"Helena, Ark.",1863-7-4,1863-7-4,AR,57,146,36,239,,
U108,US,"Jackson, Miss.",1863-7-9,1863-7-16,MS,129,762,231,1122,,
U109,US,"Hanover, Pa",1863-6-30,1863-6-30,PA,19,73,123,215,,Cavalry engagement.
U110,US,"Gettysburg, Pa",1863-7-1,1863-7-3,PA,3070,14497,5434,23001,,
U111,US,"Hagerstown, Md",1863-7-6,1863-7-6,MD,19,50,194,263,,Cavalry engagement.
U112,US,"Williamsport, Md",1863-7-6,1863-7-6,MD,14,37,69,120,,Cavalry engagement.
U113,US,"Boonsborough, Md",1863-7-7,1863-7-9,MD,8,54,18,80,,Cavalry engagement.
U114,US,"Hagerstown, Md",1863-7-11,1863-7-11,MD,5,31,13,49,,Cavalry engagement.
U115,US,"Funkstown, Md",1863-7-12,1863-7-12,MD,14,77,6,97,,
U116,US,"Falling Waters, Md",1863-7-14,1863-7-14,MD,31,58,32,121,,Cavalry engagement.
U117,US,"Shepherdstown, Va.",1863-7-16,1863-7-16,VA,8,72,24,104,,Cavalry engagement.
U118,US,"Assault on Fort Wagner, S. C.",1863-7-11,1863-7-11,SC,49,123,167,339,,
U119,US,"Assault on Fort Wagner, S. C.",1863-7-18,1863-7-18,SC,246,880,389,1515,,
U120,US,"Siege of Fort Wagner, S. C.",1863-7-1,1863-7-31,SC,71,278,9,358,,
U121,US,"Donaldsonville, La.",1863-7-13,1863-7-13,LA,56,223,186,465,,
U122,US,"Manassas Gap, Va.",1863-7-21,1863-7-21,VA,9,12,8,29,,Cavalry engagement.
U123,US,"Wapping Heights, Va.",1863-7-23,1863-7-23,VA,20,83,,103,,
U124,US,"Brandy Station, Va.",1863-8-1,1863-8-1,VA,21,104,20,145,,Cavalry engagement.
U125,US,"White Sulphur Springs, Va.",1863-8-26,1863-8-27,VA,26,125,67,218,,Cavalry engagement.
U126,US,"Chickamauga, Ga.",1863-9-19,1863-9-20,GA,1656,9749,4774,16179,,
U127,US,"Morganzia, La.",1863-9-29,1863-9-29,LA,16,45,453,514,,
U128,US,"Bristoe Station, Va.",1863-10-14,1863-10-14,VA,50,335,161,546,,
U129,US,"Philadelphia, Tenn.",1863-10-20,1863-10-20,TN,7,25,447,479,,
U130,US,"Wauhatchie, Tenn.",1863-10-27,1863-10-27,TN,75,300,8,383,,
U131,US,"Grand Coteau, La.",1863-11-3,1863-11-3,LA,25,129,562,716,,
U132,US,"Droop Mountain, W. Va.",1863-11-6,1863-11-6,WV,30,88,1,119,,
U133,US,"Rappahannock Station, Va.",1863-11-7,1863-11-7,VA,83,328,6,417,,
U134,US,"Kelly's Ford, Va.",1863-11-7,1863-11-7,VA,6,39,,45,,
U135,US,"Campbell's Station, Tenn.",1863-11-16,1863-11-16,TN,31,211,74,316,,
U136,US,"Siege of Knoxville, Tenn.",1863-11-1,1863-11-30,TN,92,393,202,687,,
U137,US,"Chattanooga, Tenn.",1863-11-23,1863-11-25,TN,687,4346,349,5382,,"Or, Missionary Ridge; Includes Orchard Knob, Nov. 23 (loss about 200); and Lookout Mountain, Nov. 24 (500)."
U137A,US,"Missionary Ridge (Chattanooga, Tenn)",1863-11-25,1863-11-25,TN,,,,4682,,
U137B,US,"Orchard Knob (Chattanooga, Tenn)",1863-11-23,1863-11-23,TN,,,,200,,
U137C,US,"Lookout Mountain (Chattanooga, Tenn)",1863-11-24,1865-11-24,TN,,,,500,,
U137D,US,"Ringgold; Graysville, Ga.",1863-11-27,1863-11-27,GA,,,,432,,
U139,US,"Mine Run Campaign, Va.",1863-11-26,1863-11-30,VA,173,1099,381,1653,,
U140,US,"Walker's Ford, W. Va.",1863-12-2,1863-12-2,WV,9,43,12,64,,
U141,US,"Bean's Station, Tenn.",1863-12-14,1863-12-14,TN,16,51,48,115,,
U142,US,"Mossy Creek, Tenn.",1863-12-29,1863-12-29,TN,18,86,5,109,,
U143,US,"Bachelor's Creek, N. C.",1864-2-1,1864-2-3,NC,9,15,302,326,,
U144,US,"Morton's Ford, Va.",1864-2-6,1864-2-6,VA,10,208,42,260,,
U145,US,"Olustee, Fla.",1864-2-20,1864-2-20,FL,203,1152,506,1861,,
U146,US,"Buzzard's Roost, Ga.",1864-2-27,1864-2-27,GA,17,272,,289,,
U147,US,"Yazoo City, Miss.",1864-3-5,1864-3-5,MS,21,89,21,131,,
U148,US,"Okolona, Ark.",1864-4-3,1864-4-3,AR,16,74,,90,,
U149,US,"Sabine Cross Roads, La and Pleasant Hill, La.",1864-4-8,1864-4-9,LA,258,1487,1772,3517,,
U150,US,"Plymouth, N. C.",1864-4-17,1864-4-20,NC,20,80,1500,1600,,
U151,US,"Cane River, La.",1864-4-23,1864-4-23,LA,40,160,,200,,
U152,US,"Marks's Mills, Ark.",1864-4-25,1864-4-25,AR,100,250,100,450,,
U153,US,"Jenkins's Ferry, Ark.",1864-4-30,1864-4-30,AR,64,378,86,528,,
U154,US,"Alexandria, La.",1864-5-1,1864-5-1,LA,23,67,21,111,,
U155,US,"Atlanta Campaign, Ga.",1864-5-5,1864-5-31,GA,1458,7436,405,9299,,"Includes Rocky Face Ridge, May 5-9 (loss about 900); Resaca, May 13-15 (3,000); New Hope Church, May 25 (1,000); Pickett's Mills, May 27 (1,900); Dallas, May 28-31 (1,800); Adairsville, Cassville, Rome Cross Roads, etc."
U155A,US,"Atlanta Campaign, Ga. (May 1-31): Rocky Face Ridge, May 5-9",1864-5-5,1864-5-9,GA,,,,900,,
U155B,US,"Atlanta Campaign, Ga. (May 1-31): Resaca, May 13-15",1864-5-13,1864-5-15,GA,,,,3000,,
U155C,US,"Atlanta Campaign, Ga. (May 1-31): New Hope Church, May 25",1864-5-25,1864-5-25,GA,,,,1000,,
U155D,US,"Atlanta Campaign, Ga. (May 1-31): Pickett's Mills, May 27",1864-5-27,1864-5-27,GA,,,,1900,,
U155E,US,"Atlanta Campaign, Ga. (May 1-31): Dallas, May 28-31",1864-5-28,1864-5-31,GA,,,,1800,,
U155F,US,"Atlanta Campaign, Ga. (May 1-31): Adairsville, Cassville, Rome Cross Roads, etc",1864-5-1,1864-5-31,GA,,,,699,,
U156,US,"Atlanta Campaign, Ga.",1864-6-1,1864-6-30,GA,1125,5740,665,7530,,"Includes Dallas, June 1-4 (900); Pine Mountain, June 14-19 (1,100); Culp's House, June 22 (700); Kenesaw Mountain, June 20-30 (1,200); Assault on Kenesaw, June 27 (3,000); Lattimore's Mill; Powder Springs, etc."
U156A,US,"Atlanta Campaign, Ga. (June 1-30): Dallas, June 1-4",1864-6-1,1864-6-4,GA,,,,900,,
U156B,US,"Atlanta Campaign, Ga. (June 1-30):  Pine Mountain, June 14-19",1864-6-14,1864-6-19,GA,,,,1100,,
U156C,US,"Atlanta Campaign, Ga. (June 1-30):  Culp's House, June 22",1864-6-22,1864-6-22,GA,,,,700,,
U156D,US,"Atlanta Campaign, Ga. (June 1-30):  Kenesaw Mountain, June 20-30",1864-6-20,1864-6-30,GA,,,,1200,,
U156E,US,"Atlanta Campaign, Ga. (June 1-30): Assault on Kenesaw, June 27",1864-6-27,1864-6-27,GA,,,,3000,,
U156F,US,"Atlanta Campaign, Ga. (June 1-30): Lattimore's Mill; Powder Springs, etc",1864-6-1,1864-6-30,GA,,,,631,,
U157,US,"Atlanta Campaign, Ga.",1864-7-1,1864-7-31,GA,1110,5915,2694,9719,,"Includes Nickajack Creek, July 2-5 (450); Chattahoochie, July 6-10 (850); Peach Tree Creek, July 20 (2,200); Atlanta, July 21, 22 (4,200); Ezra Chapel, July 28 (850); and others."
U157A,US,"Atlanta Campaign, Ga. (July 1-31): Nickajack Creek, July 2-5",1864-7-2,1864-7-5,GA,,,,450,,
U157B,US,"Atlanta Campaign, Ga. (July 1-31): Chattahoochie, July 6-10",1864-7-6,1864-7-10,GA,,,,850,,
U157C,US,"Atlanta Campaign, Ga. (July 1-31): Peach Tree Creek, July 20",1864-7-20,1864-7-20,GA,,,,2200,,
U157D,US,"Atlanta Campaign, Ga. (July 1-31): Atlanta, July 21, 22",1864-7-21,1864-7-22,GA,,,,4200,,
U157E,US,"Atlanta Campaign, Ga. (July 1-31): Ezra Chapel, July 28",1864-7-28,1864-7-28,GA,,,,850,,
U157F,US,"Atlanta Campaign, Ga. (July 1-31): others",1864-7-1,1864-7-31,GA,,,,1169,,
U158,US,"Atlanta Campaign, Ga.",1864-8-1,1864-8-31,GA,453,2318,466,3237,,"Includes Utoy Creek, Aug. 5, 6 (800); and Siege of Atlanta."
U158A,US,"Atlanta Campaign, Ga. (Aug 1-31): Utoy Creek",1864-8-5,1864-8-6,GA,,,,800,,
U158B,US,"Atlanta Campaign, Ga. (Aug 1-31): Siege of Atlanta",1864-8-1,1864-8-31,GA,,,,2437,,
U159,US,"Atlanta Campaign, Ga.",1864-9-1,1864-9-1,GA,277,1413,212,1902,,Jonesboro and Lovejoy's Station.
U160,US,"Atlanta Campaign, Ga.",1864-5-5,1864-9-1,GA,4423,22822,4442,31687,U155 U156 U157 U158 U159,
U161,US,"Wilderness, Va.",1864-5-5,1864-5-7,VA,2246,12037,3383,17666,,
U162,US,"Spotsylvania, Va.",1864-5-8,1864-5-21,VA,2725,13416,2258,18399,,"Includes Alsop's Farm, May 8 (loss about 1,800); Po River, Laurel Hill, and Upton's Charge, May 10 (5,000); Hancock's Assault, the ""Angle"" and general attack of May 12 (8,500); Spotsylvania, May 18 (800); Fredericksburg Pike, May 19 (1,400); Todd's Tavern; Corbin's Bridge; Ny River; Guinea Station etc."
U162A,US,"Spotsylvania, Va.:  Alsop's Farm, May 8",1864-5-8,1864-5-8,VA,,,,1800,,
U162B,US,"Spotsylvania, Va.:  Po River, Laurel Hill, and Upton's Charge, May 10",1864-5-10,1864-5-10,VA,,,,5000,,
U162C,US,"Spotsylvania, Va.:  Hancock's Assault, the ""Angle"", and general attack of May 12",1864-5-12,1864-5-12,VA,,,,8500,,
U162D,US,"Spotsylvania, Va.:  Spotsylvania, May 18",1864-5-18,1864-5-18,VA,,,,800,,
U162E,US,"Spotsylvania, Va.:  Fredericksburg Pike, May 19",1864-5-19,1864-5-19,VA,,,,1400,,
U162F,US,"Spotsylvania, Va.:  Todd's Tavern; Corbin's Bridge; Ny River; Guinea Station etc.",1864-5-8,1864-5-21,VA,,,,899,,
U163,US,"Walthall; Chester Station, Va.",1864-5-6,1864-5-7,VA,48,256,70,374,,
U164,US,"Arrowfield Church, Va.",1864-5-9,1864-5-10,VA,36,188,19,243,,
U165,US,"Drewry's Bluff, Va.",1864-5-12,1864-5-16,VA,390,2380,1390,4160,,
U166,US,"Ware Bottom Church, Va.",1864-5-18,1864-5-20,VA,103,796,49,948,,
U167,US,"Bermuda Hundred, Va.",1864-5-21,1864-5-31,VA,18,89,21,128,,
U168,US,"Kautz's Cavalry Raid, Va.",1864-5-7,1864-5-16,VA,14,60,31,105,,Cavalry engagements.
U169,US,"Cloyd's Mountain, W. Va.",1864-5-9,1864-5-10,WV,108,508,72,688,,
U170,US,"Yellow Tavern, Va.",1864-5-11,1864-5-11,VA,35,142,82,259,,Cavalry engagements.
U171,US,"Meadow Bridges, Va.",1864-5-12,1864-5-12,VA,15,128,27,170,,Cavalry engagements.
U172,US,"Newmarket, Va.",1864-5-15,1864-5-15,VA,93,482,256,831,,
U173,US,"Bayou Glaize, La.",1864-5-18,1864-5-18,LA,54,261,6,321,,
U174,US,"North Anna, Va.",1864-5-23,1864-5-27,VA,186,942,165,1293,,
U175,US,"Totopotomoy, Va.",1864-5-28,1864-5-31,VA,101,518,52,671,,
U176,US,"Sheridan's Cavalry, Va.",1864-5-25,1864-5-30,VA,110,450,96,656,,Cavalry engagements.
U177,US,"Bethesda Church, Va.",1864-6-1,1864-6-1,VA,194,824,348,1366,,
U178,US,"Cold Harbor, Va.",1864-6-2,1864-6-4,VA,1844,9077,1816,12737,,"Includes assault of Sixth and Eighteenth Corps, June 1; also, losses of the Fifth and Ninth Corps at Bethesda Church on June 2d and subsequently; also, Cavalry Corps at Cold Harbor, May 31 and June 1; also, loss in the trenches at Cold Harbor, June 4-14."
U179,US,"Bermuda Hundred, Va.",1864-6-1,1864-6-14,VA,25,134,98,257,,
U180,US,"Piedmont, Va.",1864-6-5,1864-6-5,VA,130,650,,780,,
U181,US,"Brice's Cross Roads, Miss.",1864-6-10,1864-6-10,MS,223,394,1623,2240,,
