battle_id,belligerent,battle_name,start_date,end_date,state,killed,wounded,missing,casualties,aggregregates_battles,comment
U182,US,"Lynchburg, Va.",1864-6-17,1864-6-18,VA,103,564,271,938,,
U183,US,"Trevilian Station, Va.",1864-6-11,1864-6-12,VA,102,470,435,1007,,Cavalry engagements.
U184,US,"White House, Va.",1864-6-21,1864-6-21,VA,10,51,22,83,,Cavalry engagements.
U185,US,"St. Mary's Church, Va.",1864-6-24,1864-6-24,VA,29,188,122,339,,Cavalry engagements.
U186,US,"Petersburg Assault, Va.",1864-6-15,1864-6-19,VA,1688,8513,1185,11386,,
U187,US,"Jerusalem Road, Va.",1864-6-22,1864-6-22,VA,142,654,2166,2962,,"Known, also, as Weldon Railroad, and Williams's Farm."
U188,US,"Wilson's Raid, Va.",1864-6-22,1864-6-29,VA,71,262,1119,1452,,Cavalry engagements.
U189,US,"Petersburg Trenches, Va.",1864-6-20,1864-6-30,VA,112,506,151,769,,
U190,US,"Fort Johnson, S. C.",1864-7-2,1864-7-2,SC,19,97,135,251,,
U191,US,"John's Island, S. C.",1864-7-5,1864-7-7,SC,16,82,12,110,,
U192,US,"Monocacy, Md",1864-7-9,1864-7-9,MD,123,603,568,1294,,
U193,US,"Fort Stevens, D. C",1864-7-12,1864-7-12,DC,54,319,,373,,
U194,US,"Tupelo, Miss.",1864-7-13,1864-7-13,MS,59,453,16,528,,
U195,US,"Island Ford, Va.",1864-7-18,1864-7-18,VA,65,301,56,422,,
U196,US,"Carter's Farm, Va.",1864-7-20,1864-7-20,VA,37,175,30,242,,
U197,US,"Winchester, Va.",1864-7-24,1864-7-24,VA,134,678,391,1203,,
U198,US,"Strawberry Plains, Va.",1864-7-26,1864-7-29,VA,62,340,86,488,,
U199,US,"Petersburg Mine, Va.",1864-7-30,1864-7-30,VA,504,1881,1413,3798,,
U200,US,"Petersburg Trenches, Va.",1864-7-1,1864-7-31,VA,349,1587,145,2081,,
U201,US,"White Post, Va.",1864-8-11,1864-8-11,VA,30,70,200,300,,Cavalry engagements.
U202,US,"Deep Bottom, Va.",1864-8-14,1864-8-16,VA,327,1851,721,2899,,
U203,US,"Weldon Railroad, Va.",1864-8-18,1864-8-20,VA,251,1148,2879,4278,,
U204,US,"Halltown, Va.",1864-8-24,1864-8-24,VA,9,37,16,62,,
U205,US,"Ream's Station, Va.",1864-8-25,1864-8-25,VA,140,529,2073,2742,,
U206,US,"Smithfield, Va.",1864-8-25,1864-8-25,VA,20,61,100,181,,Cavalry engagements.
U207,US,"Halltown, Va.",1864-8-26,1864-8-26,VA,30,141,,171,,
U208,US,"Smithfield, Va.",1864-8-29,1864-8-29,VA,10,90,,100,,
U209,US,Siege of Petersburg,1864-8-1,1864-8-31,VA,158,623,296,1077,,Includes operations on the north side of the James.
U210,US,"Berryville, Va.",1864-9-3,1864-9-3,VA,30,182,100,312,,
U211,US,"Opequon, Va.",1864-9-19,1864-9-19,VA,697,3983,338,5018,,
U212,US,"Fisher's Hill, Va.",1864-9-22,1864-9-22,VA,52,457,19,528,,
U213,US,"Fort Davidson, Mo.",1864-9-26,1864-9-26,MO,28,56,100,184,,Cavalry engagements.
U214,US,"Chaffin's Farm, Va.",1864-9-28,1864-9-28,VA,383,2299,645,3327,,
U215,US,"Poplar Spring Church, Va.",1864-9-30,1864-9-30,VA,187,900,1802,2889,,"Known, also, as Peebles's Farm, and Pegram's Farm."
U216,US,"Petersburg Trenches, Va.",1864-9-1,1864-9-30,VA,74,304,424,802,,Includes operations on the north side of the James.
U217,US,"Saltville, Va.",1864-10-2,1864-10-2,VA,54,190,104,348,,Cavalry engagements.
U218,US,"Allatoona Pass, Ga.",1864-10-5,1864-10-5,GA,142,352,212,706,,
U219,US,"Darbytown Road, Va.",1864-10-7,1864-10-7,VA,49,253,156,458,,
U220,US,"Tom's Brook; Woodstock, Va.",1864-10-9,1864-10-9,VA,9,67,,76,,Cavalry engagements.
U221,US,"Strasburg, Va.",1864-10-13,1864-10-13,VA,30,144,40,214,,Cavalry engagements.
U222,US,"Darbytown Road, Va.",1864-10-13,1864-10-13,VA,36,358,43,437,,
U223,US,"Cedar Creek, Va.",1864-10-19,1864-10-19,VA,644,3430,1591,5665,,
U224,US,"Little Blue, Mo.",1864-10-21,1864-10-21,MO,18,83,14,115,,Cavalry engagements.
U225,US,"Independence, Mo.",1864-10-22,1864-10-22,MO,14,58,11,83,,Cavalry engagements.
U226,US,"Decatur, Ala.",1864-10-26,1864-10-26,VA,10,45,100,155,,Cavalry engagements.
U227,US,"Boydton Road, Va.",1864-10-27,1864-10-27,VA,166,1028,564,1758,,Cavalry engagements.
U228,US,"Darbytown Road; Fair Oaks, Va.",1864-10-27,1864-10-27,VA,118,787,698,1603,,
U229,US,"Petersburg Trenches, Va.",1864-10-1,1864-10-31,VA,159,520,633,1312,,Includes operations on the north side of the James.
U230,US,"Rood's Hill, Va.",1864-11-22,1864-11-22,VA,18,52,10,80,,Cavalry engagements.
U231,US,"Griswoldville, Ga.",1864-11-22,1864-11-22,GA,10,52,,62,,
U232,US,"Honey Hill, S. C.",1864-11-30,1864-11-30,SC,91,631,26,748,,
U233,US,"Franklin, Tenn.",1864-11-30,1864-11-30,TN,189,1033,1104,2326,,
U234,US,Siege of Petersburg,1864-11-1,1864-11-30,VA,57,258,108,423,,Includes operations on the north side of the James.
U235,US,"Murfreesboro, Tenn.",1864-12-5,1864-12-5,TN,30,175,,205,,
U236,US,"Deveaux's Neck, S. C.",1864-12-6,1864-12-9,SC,39,390,200,629,,
U237,US,"Fort McAllister, Ga.",1864-12-13,1864-12-13,GA,24,110,,134,,
U238,US,"Nashville, Tenn.",1864-12-15,1864-12-16,TN,387,2558,112,3057,,
U239,US,"Marion, Va.",1864-12-18,1864-12-18,VA,18,58,,76,,
U240,US,"Egypt Station, Miss.",1864-12-28,1864-12-28,MS,23,88,7,118,,Cavalry engagements.
U241,US,"Siege of Petersburg, Va.",1864-12-1,1864-12-31,VA,66,278,269,613,,Includes operations on the north side of the James.
U242,US,"Fort Fisher, N. C.",1865-1-15,1865-1-15,NC,184,749,22,955,,
U243,US,"Siege of Petersburg, Va.",1865-1-1,1865-1-31,VA,51,269,81,401,,Includes operations on the north side of the James.
U244,US,"Rivers's Bridge, S. C.",1865-2-3,1865-2-9,SC,18,70,4,92,,
U245,US,"Dabney's Mills, Va.",1865-2-5,1865-2-7,VA,171,1181,187,1539,,"Known, also, as Hatcher's Run."
U246,US,"James's Island, S. C.",1865-2-10,1865-2-10,SC,20,76,,96,,
U247,US,"Sugar Loaf Battery, N. C.",1865-2-11,1865-2-11,NC,14,114,,128,,
U248,US,"Town Creek, N. C.",1865-2-20,1865-2-20,NC,30,154,,184,,
U249,US,"Siege of Petersburg, Va.",1865-2-1,1865-2-28,VA,43,257,72,372,,Includes operations on the north side of the James.
U250,US,"National Bridge, Fla.",1865-3-6,1865-3-6,FL,22,46,13,81,,
U251,US,"Wilcox's Bridge, N. C.",1865-3-8,1865-3-10,NC,64,319,953,1336,,
U252,US,"Monroe's Cross Roads, N. C.",1865-3-10,1865-3-10,NC,19,61,103,183,,
U253,US,"Averasboro, N. C.",1865-3-16,1865-3-16,NC,93,531,54,678,,
U254,US,"Bentonville, N. C.",1865-3-19,1865-3-19,NC,191,1168,287,1646,,
U255,US,"Fort Stedman, Va.",1865-3-25,1865-3-25,VA,72,450,522,1044,,
U256,US,"Petersburg, Va.",1865-3-25,1865-3-25,VA,103,864,209,1176,,
U257,US,"Gravelly Run, Va.",1865-3-29,1865-3-29,VA,55,306,22,383,,
U258,US,"White Oak Road, Va.",1865-3-31,1865-3-31,VA,177,1134,556,1867,,
U259,US,"Siege of Petersburg, Va.",1865-3-1,1865-3-31,VA,58,272,98,428,,
U260,US,"Dinwiddie C. H., Va.",1865-3-31,1865-3-31,VA,67,354,,421,,Cavalry engagements.
U261,US,"Five Forks, Va.",1865-4-1,1865-4-1,VA,124,706,54,884,,
U262,US,"Selma, Ala.",1865-4-2,1865-4-2,VA,42,270,7,319,,Cavalry engagements.
U263,US,"Fall of Petersburg, Va.",1865-4-2,1865-4-2,VA,296,2565,500,3361,,
U264,US,"Namozin Church, Va.",1865-4-3,1865-4-3,VA,10,85,,95,,Cavalry engagements.
U265,US,"Amelia Springs, Va.",1865-4-5,1865-4-5,VA,20,96,,116,,Cavalry engagements.
U266,US,"Sailor's Creek, Va.",1865-4-6,1865-4-6,VA,166,1014,,1180,,
U267,US,"Farmville, Va.",1865-4-7,1865-4-7,VA,58,504,9,571,,
U268,US,"Spanish Fort, Ala.",1865-4-8,1865-4-8,VA,100,695,,795,,
U269,US,"Fort Blakely, Ala.",1865-4-9,1865-4-9,VA,113,516,,629,,
U270,US,"Columbus; West Point, Ga.",1865-4-16,1865-4-16,GA,13,53,,66,,Cavalry engagements.
C1,Confederate,"First Bull Run, Va.",1861-7-21,1861-7-21,VA,387,1582,13,1982,,"Killed from Gen. Pillow's Report: Official Records, Vol. VII, p. 291.; Missing May include some of the wounded."
C2,Confederate,"Wilson's Creek, Mo.",1861-8-10,1861-8-10,MO,265,800,30,1095,,
C3,Confederate,"Greenbrier River, W. Va.",1861-10-3,1861-10-3,WV,6,33,13,52,,
C4,Confederate,"Ball's Bluff, Va.",1861-10-21,1861-10-21,VA,36,117,2,155,,
C5,Confederate,"Belmont, Mo.",1861-11-7,1861-11-7,MO,105,419,117,641,,
C6,Confederate,"Camp Alleghany, W. Va.",1861-12-13,1861-12-13,WV,20,96,28,144,,
C7,Confederate,"Dranesville, Va.",1861-12-20,1861-12-20,VA,43,143,8,194,,
C8,Confederate,"Mill Springs, Ky.",1862-1-19,1862-1-19,KY,125,309,95,529,,
C9,Confederate,"Roanoke Island, N. C.",1862-2-8,1862-2-8,NC,23,58,2527,2608,,
C10,Confederate,"Fort Donelson, Tenn.",1862-2-14,1862-2-16,TN,466,1534,13829,15829,,
C11,Confederate,"New Berne, N. C.",1862-3-14,1862-3-14,NC,64,101,413,578,,
C12,Confederate,"Kernstown, Va.",1862-3-23,1862-3-23,VA,80,375,263,718,,
C13,Confederate,"Shiloh, Tenn.",1862-4-6,1862-4-7,TN,1723,8012,959,10694,,
C14,Confederate,"Camden, N. C.",1862-4-19,1862-4-19,NC,6,19,3,28,,
C15,Confederate,"Williamsburg, Va.",1862-5-5,1862-5-5,VA,288,975,297,1560,,
C16,Confederate,"West Point, Va.",1862-5-7,1862-5-7,VA,8,40,,48,,
C17,Confederate,"McDowell, Va.",1862-5-8,1862-5-8,VA,75,423,,498,,
C18,Confederate,"Front Royal; Winchester, Va.",1862-5-23,1862-5-25,VA,39,172,3,214,,
C19,Confederate,"Hanover C. H., Va.",1862-5-27,1862-5-27,VA,73,192,,265,,
C20,Confederate,"Fair Oaks, Va.",1862-5-31,1862-5-31,VA,980,4749,405,6134,,
C21,Confederate,"Harrisonburg, Va.",1862-6-6,1862-6-6,VA,17,50,3,70,,
C22,Confederate,"Cross Keys, Va.",1862-6-8,1862-6-8,VA,56,392,47,495,,
C23,Confederate,"Port Republic, Va.",1862-6-9,1862-6-9,VA,78,533,4,615,,
C24,Confederate,"Secessionville, S. C.",1862-6-16,1862-6-16,SC,52,144,8,204,,
C25,Confederate,"Seven Days Battle, Va.",1862-6-25,1862-7-1,VA,3478,16261,875,20614,,"Approximate division of loss: June 25, Oak Grove, 441; June 26, Mechanicsville, 1,365; June 27, Gaines's Mill, 8,751; June 28, Garnett's Farm, and Golding's Farm, 461; June 29, Savage Station and Peach Orchard, 626; June 30, White Oak Swamp and Glendale (or Charles City Cross Roads), 3,615, July 1, Malvern Hill, 5,355; total, 20,614.--Official Records, Vol. XI, Part II, pp. 973-984: Confederate Reports."
C25A,Confederate,"Seven Days Battle: June 25, Oak Grove",1862-6-25,1862-6-25,VA,,,,441,,
C25B,Confederate,"Seven Days Battle: June 26, Mechanicsville",1862-6-26,1862-6-26,VA,,,,1365,,
C25C,Confederate,"Seven Days Battle: June 27, Gaine's Mill",1862-6-27,1862-6-27,VA,,,,8751,,
C25D,Confederate,"Seven Days Battle: June 28, Garnett's Farm, and Golding's Farm",1862-6-28,1862-6-28,VA,,,,461,,
C25E,Confederate,"Seven Days Battle: June 29, Savage Station and Peach Orchard",1862-6-29,1862-6-29,VA,,,,626,,
C25F,Confederate,"Seven Days Battle: June 30, White Oak Swamp and Glendale (or Charles City Cross Roads)",1862-6-30,1862-6-30,VA,,,,3615,,
C25G,Confederate,"Seven Days Battle: July 1, Malvern Hill",1862-7-1,1862-7-1,VA,,,,5355,,
C26,Confederate,"Baton Rouge, La.",1862-8-5,1862-8-5,LA,84,313,56,453,,
C27,Confederate,"Cedar Mountain, Va.",1862-8-9,1862-8-9,VA,223,1060,31,1314,,
C28,Confederate,"Richmond, Ky.",1862-8-30,1862-8-30,KY,78,372,1,451,,
C29,Confederate,"Manassas, Va.",1862-8-21,1862-9-2,VA,1481,7627,89,9197,,"Includes Rappahannock and Chantilly; compiled from official reports of Longstreet, Jackson and Stuart."
C30,Confederate,"Fayetteville, W. Va.",1862-9-10,1862-9-10,WV,16,32,,48,,
C31,Confederate,"Maryland Campaign, Md",1862-9-12,1862-9-20,MD,1886,9348,1367,12601,,"Includes Harper's Ferry, Crampton's Gap, South Mountain, Antietam, and Shepherdstown."
C32,Confederate,"Munfordville, Ky.",1862-9-14,1862-9-17,KY,40,211,,251,,
C33,Confederate,"Iuka, Miss.",1862-9-19,1862-9-19,MS,86,408,199,693,,
C34,Confederate,"Corinth, Miss.",1862-10-3,1862-10-5,MS,505,2150,2183,4838,,"Includes loss at Hatchie River, October 5th."
C35,Confederate,"Chaplin Hills, Ky.",1862-10-8,1862-10-8,KY,510,2635,251,3396,,
C36,Confederate,"Pocotaligo, S. C.",1862-10-22,1862-10-22,SC,21,124,18,163,,
C37,Confederate,"Coffeeville, Miss.",1862-12-5,1862-12-5,MS,7,43,10,60,,
C38,Confederate,"Hartsville, Tenn.",1862-12-7,1862-12-7,TN,21,104,14,139,,
C39,Confederate,"Prairie Grove, Ark.",1862-12-7,1862-12-7,AR,164,817,,981,,
C40,Confederate,"Kinston, Whitehall, N. C.",1862-12-12,1862-12-17,VA,71,268,400,739,,
C41,Confederate,"Fredericksburg, Va.",1862-12-13,1862-12-13,VA,596,4068,651,5315,,
C42,Confederate,"Chickasaw Bluffs, Miss.",1862-12-26,1862-12-29,MS,57,120,10,187,,
C43,Confederate,"Stone's River, Tenn.",1862-12-31,1862-12-31,TN,1294,7945,1027,10266,,
C44,Confederate,"Springfield; Hartsville, Mo.",1863-1-2,1863-1-11,MO,32,201,29,262,,
C45,Confederate,"Deserted House, Va.",1863-1-30,1863-1-30,VA,8,31,,39,,
C46,Confederate,"Thompson's Station, Tenn.",1863-3-5,1863-3-5,TN,56,289,12,357,,
C47,Confederate,"Kelly's Ford, Va.",1863-3-17,1863-3-17,VA,11,88,34,133,,
C48,Confederate,"Magnolia Hills, Miss.",1863-5-1,1863-5-1,MS,68,380,384,832,,
C49,Confederate,"Chancellorsville, Va.",1863-5-1,1863-5-4,VA,1665,9081,2018,12764,,
C50,Confederate,"Raymond, Miss.",1863-5-12,1863-5-12,MS,73,251,190,514,,
C51,Confederate,"Champion's Hill, Miss.",1863-5-16,1863-5-16,MS,380,1018,2441,3839,,
C52,Confederate,"Milliken's Bend, La.",1863-6-6,1863-6-6,LA,101,285,266,652,,
C53,Confederate,"Beverly Ford, Va.",1863-6-9,1863-6-9,VA,51,250,132,433,,"Not including 90 killed, wounded, and missing in White's battalion."
C53A,Confederate,"Beverly Ford, Va.",1863-6-9,1863-6-9,VA,,,,523,,"Includes the 90 killed, wounded, and missing in White's battalion."
C54,Confederate,"Middleburg; Upperville, Va.",1863-6-10,1863-6-24,VA,65,279,166,510,,
C55,Confederate,"Winchester, Va.",1863-6-13,1863-6-13,VA,47,219,3,269,,
C56,Confederate,"Hanover, Pa",1863-6-30,1863-6-30,PA,9,50,58,117,,
C57,Confederate,"Gettysburg, Pa",1863-7-1,1863-7-3,PA,2592,12706,5150,20448,,"The records on file at Washington bear the names of 6,802 wounded, and 5,425 unwounded Confederates captured at Gettysburg. The official reports of Longstreet, Ewell, Hill, and Stuart indicate a loss (after making necessary deductions) of 2,701 killed, 12,739 wounded, 7,528 missing; total, 22,968."
C58,Confederate,"Helena, Ark.",1863-7-4,1863-7-4,AR,173,645,772,1590,,
C59,Confederate,"Hagerstown; Williamsport, Md",1863-7-6,1863-7-6,MD,8,65,181,254,,
C60,Confederate,"Jackson, Miss.",1863-7-9,1863-7-16,MS,71,504,765,1340,,
C61,Confederate,"Funkstown; Boonsborough, Md",1863-7-12,1863-7-12,MD,26,130,60,216,,
C62,Confederate,"Plain's Store, La.",1863-5-21,1863-5-21,LA,12,36,,48,,
C63,Confederate,"Port Hudson, La.",1863-5-25,1863-7-9,LA,176,447,,,,
C64,Confederate,"Morris Island, S. C.",1863-7-10,1863-7-10,SC,40,124,127,291,,
C65,Confederate,"Fort Wagner, S. C.",1863-7-11,1863-7-11,SC,6,6,,12,,
C66,Confederate,"Fort Wagner, S. C.",1863-7-18,1863-7-18,SC,36,140,5,181,,
C67,Confederate,"Charleston Harbor, S. C.",1863-7-19,1863-9-6,SC,75,404,27,506,,
C68,Confederate,"Rocky Gap, Va.",1863-8-26,1863-8-27,VA,20,129,13,162,,
C69,Confederate,"Chickamauga, Ga.",1863-9-19,1863-9-20,GA,2068,13085,1303,16456,,With the exception of Scott's Brigade the cavalry losses are not included.
C70,Confederate,"Cavalry Affairs, Va.",1863-10-10,1863-10-21,VA,74,477,89,640,,"Hampton's and Fitz Lee's Cavalry, at Culpeper, Buckland Mills and other places."
C71,Confederate,"Bristoe Station, Va.",1863-10-14,1863-10-14,VA,136,797,445,1378,,
C72,Confederate,"Wauhatchie, Tenn.",1863-10-27,1863-10-27,TN,33,306,58,397,,
C73,Confederate,"Droop Mountain, Va.",1863-11-6,1863-11-6,VA,,,,275,,
C74,Confederate,"Kelly's Ford, Va.",1863-11-7,1863-11-7,VA,,,,359,,
C75,Confederate,"Rappahannock Station, Va.",1863-11-7,1863-11-7,VA,,,,1674,,
C76,Confederate,"Missionary Ridge, Tenn.",1863-11-23,1863-11-25,TN,361,2160,4146,6667,,Including Lookout Mountain.
C77,Confederate,"Mine Run Campaign, Va.",1863-11-26,1863-11-30,VA,110,570,65,745,,
C78,Confederate,"Knoxville, Tenn.",1863-11-14,1863-11-30,TN,198,850,248,1296,,
C79,Confederate,"Fort Sanders, Tenn.",1863-11-29,1863-11-29,TN,129,458,226,813,,"Included, also, in losses November 14-30, 1863--Knoxville."
C80,Confederate,"Olustee, Fla.",1864-2-20,1864-2-20,FL,93,847,6,946,,
C81,Confederate,"Marks's Mills, Ark.",1864-4-25,1864-4-25,AR,41,108,144,293,,
C82,Confederate,"Jenkins's Ferry, Ark.",1864-4-30,1864-4-30,AR,86,356,1,443,,
C83,Confederate,Rocky Face Ridge; Resaca (Atlanta Campaign),1864-5-7,1864-5-20,GA,444,2828,1984,5256,,
C84,Confederate,New Hope Church; Dallas (Atlanta Campaign),1864-5-20,1864-6-4,GA,309,1921,1352,3582,,
C85,Confederate,Kenesaw Mountain (Atlanta Campaign),1864-6-4,1864-7-4,GA,468,3480,2394,6342,,
C86,Confederate,Peach Tree Creek; Atlanta (Atlanta Campaign),1864-7-4,1864-7-31,GA,1341,7500,5361,14202,,
C87,Confederate,Utoy Creek; Jonesboro (Atlanta Campaign),1864-7-31,1864-9-1,GA,482,3223,,,,"As stated by Dr. Foard, Medical Director of Johnston's (and Hood's) Army, and does not include the missing. Sherman's Army captured 12,983 Confederates during the Atlanta campaign, which should be added to the above losses."
C88,Confederate,Cavalry Engagements (Atlanta Campaign),1864-5-6,1864-5-31,GA,73,341,,,,"As stated by Dr. Foard, Medical Director of Johnston's (and Hood's) Army, and does not include the missing. Sherman's Army captured 12,983 Confederates during the Atlanta campaign, which should be added to the above losses."
C87A,Confederate,Utoy Creek; Jonesboro (Atlanta Campaign),1864-7-31,1864-9-1,GA,482,3223,1641,5346,,Includes captured in Atlanta Campaign
C88A,Confederate,Cavalry Engagements (Atlanta Campaign),1864-5-6,1864-5-31,GA,73,341,251,665,,Includes captured in Atlanta Campaign
C89,Confederate,"New Market, Va.",1864-5-15,1864-5-15,VA,34,484,13,531,,
C90,Confederate,"Brice's Cross Roads, Miss.",1864-6-10,1864-6-11,MS,96,396,,492,,
C91,Confederate,"Johns Island; James Island, S. C.",1864-7-1,1864-7-11,SC,33,92,,125,,
C92,Confederate,"Tupelo, Miss.",1864-7-13,1864-7-15,MS,210,1049,49,1308,,
C93,Confederate,"Opequon, Va.",1864-9-19,1864-9-19,VA,226,1567,1818,3611,,"Not including the loss in the cavalry, which was reported as slight."
C94,Confederate,"Fisher's Hill, Va.",1864-9-22,1864-9-22,VA,30,210,995,1235,,"Not including the loss in the cavalry, which was reported as slight."
C95,Confederate,"Allatoona Pass, Ga.",1864-10-5,1864-10-5,VA,127,456,290,873,,
C96,Confederate,"Cedar Creek, Va.",1864-10-19,1864-10-19,GA,320,1540,1050,2910,,"General Early reported his loss at Cedar Creek at 1,860 killed and wounded, and ""something over 1,000 prisoners."""
C97,Confederate,"Averasboro, N. C.",1865-3-16,1865-3-16,VA,108,540,217,865,,
C98,Confederate,"Bentonville, N. C.",1865-3-19,1865-3-19,NC,239,1694,673,2606,,